"HHID","WillingShareData_HCP2","Age","Education","CENSREG","RUC2003","Weight","WillingShareData_HCP2_numeric"
"72100185","Yes",79,"12 years or completed high school","South","County in metro area with 1 million population or more",162,1
"72100187","Inapplicable, coded 2 in WearableDevTrackHealth2",74,"Some college","South","County in metro area of 250,000 to 1 million population",168,NA
"72100188","Inapplicable, coded 2 in WearableDevTrackHealth2",28,"College graduate","Midwest","County in metro area of 250,000 to 1 million population",160,NA
"72100189","Inapplicable, coded 2 in WearableDevTrackHealth2",29,"12 years or completed high school","West","County in metro area of 250,000 to 1 million population",260,NA
"72100193","Inapplicable, coded 2 in WearableDevTrackHealth2",77,"Post high school training other than college (vocational or technical)","Midwest","County in metro area of 250,000 to 1 million population",170,NA
"72100199","Inapplicable, coded 2 in WearableDevTrackHealth2",57,"Some college","West","County in metro area with 1 million population or more",195,NA
"72100203","Yes",71,"Post high school training other than college (vocational or technical)","Midwest","Nonmetro county with urban population of 20,000 or more, adjacent to a metro are",200,1
"72100207","Yes",29,"College graduate","South","Nonmetro county with urban population of 2,500-19,999, not adjacent to a metro a",220,1
"72100212","Yes",38,"College graduate","West","County in metro area with 1 million population or more",158,1
"72100217","Question answered in error (Commission Error)",54,"Some college","South","County in metro area with 1 million population or more",-9,NA
"72100223","Yes",79,"Postgraduate","South","County in metro area with 1 million population or more",190,1
"72100232","Yes",85,"Some college","West","County in metro area with 1 million population or more",129,1
"72100238","Inapplicable, coded 2 in WearableDevTrackHealth2",61,"Postgraduate","West","County in metro area with 1 million population or more",115,NA
"72100242","Inapplicable, coded 2 in WearableDevTrackHealth2",28,"12 years or completed high school","South","Nonmetro county with urban population of 20,000 or more, adjacent to a metro are",245,NA
"72100243","Question answered in error (Commission Error)",-9,"12 years or completed high school","South","County in metro area with 1 million population or more",140,NA
"72100244","Inapplicable, coded 2 in WearableDevTrackHealth2",87,"College graduate","South","County in metro area with 1 million population or more",152,NA
"72100265","Question answered in error (Commission Error)",66,"Postgraduate","West","County in metro area of fewer than 250,000 population",140,NA
"72100268","No",18,"8 through 11 years","South","County in metro area with 1 million population or more",200,0
"72100275","Missing data (Filter Missing)",74,"Postgraduate","South","Nonmetro county with urban population of 20,000 or more, adjacent to a metro are",209,NA
"72100281","Yes",36,"Post high school training other than college (vocational or technical)","South","County in metro area with 1 million population or more",150,1
"72100286","Question answered in error (Commission Error)",50,"College graduate","Midwest","County in metro area of 250,000 to 1 million population",211,NA
"72100287","Yes",25,"12 years or completed high school","Midwest","County in metro area with 1 million population or more",169,1
"72100296","Inapplicable, coded 2 in WearableDevTrackHealth2",67,"College graduate","South","Nonmetro county with urban population of 20,000 or more, adjacent to a metro are",162,NA
"72100298","Yes",48,"College graduate","Northeast","County in metro area with 1 million population or more",178,1
"72100309","Yes",87,"12 years or completed high school","Midwest","County in metro area with 1 million population or more",152,1
"72100317","Inapplicable, coded 2 in WearableDevTrackHealth2",77,"Some college","Northeast","County in metro area of 250,000 to 1 million population",119,NA
"72100319","Inapplicable, coded 2 in WearableDevTrackHealth2",32,"12 years or completed high school","South","Nonmetro county with urban population of 2,500-19,999, adjacent to a metro area",320,NA
"72100320","Inapplicable, coded 2 in WearableDevTrackHealth2",74,"Post high school training other than college (vocational or technical)","Midwest","County in metro area with 1 million population or more",205,NA
"72100325","Inapplicable, coded 2 in WearableDevTrackHealth2",67,"College graduate","South","County in metro area of 250,000 to 1 million population",195,NA
"72100341","No",51,"College graduate","Midwest","County in metro area with 1 million population or more",140,0
"72100345","Yes",65,"Some college","South","County in metro area with 1 million population or more",158,1
"72100348","Yes",75,"Postgraduate","Northeast","County in metro area with 1 million population or more",180,1
"72100351","Inapplicable, coded 2 in WearableDevTrackHealth2",61,"12 years or completed high school","Northeast","County in metro area of fewer than 250,000 population",160,NA
"72100357","Inapplicable, coded 2 in WearableDevTrackHealth2",35,"College graduate","South","County in metro area of 250,000 to 1 million population",176,NA
"72100361","Yes",29,"College graduate","South","County in metro area with 1 million population or more",175,1
"72100362","Question answered in error (Commission Error)",49,"8 through 11 years","South","County in metro area of 250,000 to 1 million population",265,NA
"72100363","Inapplicable, coded 2 in WearableDevTrackHealth2",62,"Postgraduate","South","Nonmetro county with urban population of 20,000 or more, not adjacent to a metro",115,NA
"72100367","Yes",60,"Postgraduate","South","County in metro area with 1 million population or more",230,1
"72100370","Question answered in error (Commission Error)",67,"Some college","South","County in metro area with 1 million population or more",260,NA
"72100371","Yes",40,"College graduate","West","County in metro area with 1 million population or more",230,1
"72100382","Inapplicable, coded 2 in WearableDevTrackHealth2",51,"Some college","West","County in metro area of 250,000 to 1 million population",161,NA
"72100397","Question answered in error (Commission Error)",87,"8 through 11 years","South","County in metro area with 1 million population or more",177,NA
"72100406","Question answered in error (Commission Error)",80,"College graduate","West","Nonmetro county with urban population of 2,500-19,999, not adjacent to a metro a",132,NA
"72100411","Yes",74,"College graduate","West","County in metro area with 1 million population or more",250,1
"72100412","Inapplicable, coded 2 in WearableDevTrackHealth2",68,"Some college","West","County in metro area of fewer than 250,000 population",162,NA
"72100414","Inapplicable, coded 2 in WearableDevTrackHealth2",42,"College graduate","West","County in metro area with 1 million population or more",238,NA
"72100422","Yes",78,"Some college","Northeast","County in metro area with 1 million population or more",214,1
"72100424","Yes",54,"Postgraduate","West","County in metro area of fewer than 250,000 population",220,1
"72100428","Yes",38,"Postgraduate","Midwest","County in metro area with 1 million population or more",153,1
"72100430","Inapplicable, coded 2 in WearableDevTrackHealth2",63,"Some college","South","County in metro area with 1 million population or more",275,NA
"72100432","No",39,"College graduate","South","County in metro area with 1 million population or more",160,0
"72100435","Inapplicable, coded 2 in WearableDevTrackHealth2",58,"Postgraduate","Northeast","County in metro area of fewer than 250,000 population",110,NA
"72100442","Inapplicable, coded 2 in WearableDevTrackHealth2",49,"Postgraduate","Midwest","County in metro area with 1 million population or more",160,NA
"72100443","Yes",34,"College graduate","West","County in metro area of fewer than 250,000 population",154,1
"72100447","Inapplicable, coded 2 in WearableDevTrackHealth2",43,"College graduate","Northeast","County in metro area with 1 million population or more",195,NA
"72100454","Question answered in error (Commission Error)",77,"College graduate","South","County in metro area of 250,000 to 1 million population",125,NA
"72100458","Inapplicable, coded 2 in WearableDevTrackHealth2",43,"Postgraduate","Northeast","County in metro area with 1 million population or more",152,NA
"72100463","Inapplicable, coded 2 in WearableDevTrackHealth2",70,"Some college","Northeast","County in metro area with 1 million population or more",210,NA
"72100464","Yes",66,"Postgraduate","South","County in metro area with 1 million population or more",138,1
"72100467","Yes",40,"Postgraduate","South","County in metro area with 1 million population or more",180,1
"72100468","Question answered in error (Commission Error)",60,"Post high school training other than college (vocational or technical)","Midwest","County in metro area with 1 million population or more",161,NA
"72100477","Inapplicable, coded 2 in WearableDevTrackHealth2",64,"Some college","South","County in metro area with 1 million population or more",261,NA
"72100478","Missing data (Web partial - Question Never Seen)",-7,"Missing data (Web partial - Question Never Seen)","South","County in metro area with 1 million population or more",-7,NA
"72100479","Inapplicable, coded 2 in WearableDevTrackHealth2",70,"College graduate","Midwest","Nonmetro county with urban population of 20,000 or more, adjacent to a metro are",250,NA
"72100486","Inapplicable, coded 2 in WearableDevTrackHealth2",40,"Postgraduate","South","County in metro area with 1 million population or more",175,NA
"72100492","Yes",28,"Some college","Midwest","County in metro area of 250,000 to 1 million population",190,1
"72100501","Yes",60,"Postgraduate","South","County in metro area of 250,000 to 1 million population",129,1
"72100503","Inapplicable, coded 2 in WearableDevTrackHealth2",50,"Some college","South","County in metro area of fewer than 250,000 population",220,NA
"72100511","Inapplicable, coded 2 in WearableDevTrackHealth2",39,"Postgraduate","South","County in metro area with 1 million population or more",176,NA
"72100515","Inapplicable, coded 2 in WearableDevTrackHealth2",58,"Postgraduate","South","County in metro area of 250,000 to 1 million population",220,NA
"72100526","Inapplicable, coded 2 in WearableDevTrackHealth2",20,"Some college","West","County in metro area of 250,000 to 1 million population",110,NA
"72100528","Inapplicable, coded 2 in WearableDevTrackHealth2",67,"12 years or completed high school","South","Nonmetro county with urban population of 2,500-19,999, not adjacent to a metro a",190,NA
"72100535","Yes",65,"Postgraduate","South","County in metro area with 1 million population or more",182,1
"72100538","Inapplicable, coded 2 in WearableDevTrackHealth2",-7,"Missing data (Web partial - Question Never Seen)","West","County in metro area of 250,000 to 1 million population",-7,NA
"72100540","Yes",45,"Postgraduate","Midwest","County in metro area with 1 million population or more",272,1
"72100551","Yes",23,"Some college","Midwest","Nonmetro county with urban population of 20,000 or more, not adjacent to a metro",135,1
"72100555","Yes",59,"Postgraduate","Midwest","County in metro area of 250,000 to 1 million population",144,1
"72100561","Inapplicable, coded 2 in WearableDevTrackHealth2",-7,"Missing data (Web partial - Question Never Seen)","Midwest","County in metro area with 1 million population or more",-7,NA
"72100569","Inapplicable, coded 2 in WearableDevTrackHealth2",71,"College graduate","South","Nonmetro county with urban population of 2,500-19,999, adjacent to a metro area",218,NA
"72100572","Yes",51,"College graduate","Northeast","County in metro area with 1 million population or more",135,1
"72100579","Yes",-7,"Missing data (Web partial - Question Never Seen)","South","County in metro area with 1 million population or more",280,1
"72100585","Yes",69,"Postgraduate","South","County in metro area with 1 million population or more",220,1
"72100586","Yes",82,"12 years or completed high school","Midwest","County in metro area of 250,000 to 1 million population",187,1
"72100591","Inapplicable, coded 2 in WearableDevTrackHealth2",-9,"Missing data (Not Ascertained)","South","County in metro area with 1 million population or more",150,NA
"72100598","Yes",68,"Some college","West","County in metro area with 1 million population or more",157,1
"72100604","No",54,"Postgraduate","South","County in metro area with 1 million population or more",270,0
"72100616","Question answered in error (Commission Error)",72,"Some college","Midwest","Nonmetro county with urban population of 20,000 or more, adjacent to a metro are",207,NA
"72100621","No",54,"Postgraduate","South","County in metro area with 1 million population or more",146,0
"72100623","Inapplicable, coded 2 in WearableDevTrackHealth2",78,"Postgraduate","West","County in metro area of 250,000 to 1 million population",156,NA
"72100624","Yes",50,"College graduate","Midwest","County in metro area with 1 million population or more",168,1
"72100625","Missing data (Filter Missing)",63,"12 years or completed high school","Midwest","County in metro area with 1 million population or more",180,NA
"72100633","Yes",61,"Some college","West","County in metro area with 1 million population or more",280,1
"72100641","Yes",40,"College graduate","Northeast","County in metro area with 1 million population or more",230,1
"72100642","Inapplicable, coded 2 in WearableDevTrackHealth2",78,"Postgraduate","West","County in metro area of fewer than 250,000 population",165,NA
"72100647","No",37,"College graduate","Northeast","County in metro area with 1 million population or more",185,0
"72100648","Inapplicable, coded 2 in WearableDevTrackHealth2",27,"Postgraduate","Northeast","County in metro area of 250,000 to 1 million population",157,NA
"72100653","No",23,"Some college","West","County in metro area of 250,000 to 1 million population",211,0
"72100656","Inapplicable, coded 2 in WearableDevTrackHealth2",86,"Postgraduate","West","County in metro area of 250,000 to 1 million population",220,NA
"72100664","Inapplicable, coded 2 in WearableDevTrackHealth2",70,"Some college","West","County in metro area with 1 million population or more",142,NA
"72100665","Inapplicable, coded 2 in WearableDevTrackHealth2",58,"College graduate","Midwest","County in metro area of 250,000 to 1 million population",200,NA
"72100666","Yes",50,"12 years or completed high school","Midwest","County in metro area with 1 million population or more",180,1
"72100672","Inapplicable, coded 2 in WearableDevTrackHealth2",82,"Some college","Northeast","County in metro area with 1 million population or more",153,NA
"72100674","Inapplicable, coded 2 in WearableDevTrackHealth2",56,"12 years or completed high school","South","County in metro area with 1 million population or more",138,NA
"72100676","Inapplicable, coded 2 in WearableDevTrackHealth2",-9,"Missing data (Not Ascertained)","West","County in metro area of 250,000 to 1 million population",-9,NA
"72100677","Inapplicable, coded 2 in WearableDevTrackHealth2",35,"Some college","Midwest","Nonmetro county with urban population of 2,500-19,999, not adjacent to a metro a",360,NA
"72100691","Yes",75,"Postgraduate","South","County in metro area of 250,000 to 1 million population",312,1
"72100696","Inapplicable, coded 2 in WearableDevTrackHealth2",76,"College graduate","Northeast","County in metro area with 1 million population or more",107,NA
"72100697","Question answered in error (Commission Error)",76,"Some college","South","Nonmetro county completely rural or less than 2,500 urban population, not adjace",137,NA
"72100698","Inapplicable, coded 2 in WearableDevTrackHealth2",67,"Some college","West","County in metro area with 1 million population or more",175,NA
"72100703","Yes",83,"College graduate","South","County in metro area of 250,000 to 1 million population",190,1
"72100704","Yes",51,"Some college","South","County in metro area of 250,000 to 1 million population",239,1
"72100705","No",60,"12 years or completed high school","South","County in metro area with 1 million population or more",155,0
"72100706","Yes",40,"Some college","Midwest","County in metro area of 250,000 to 1 million population",165,1
"72100707","Yes",36,"College graduate","South","County in metro area with 1 million population or more",220,1
"72100711","Question answered in error (Commission Error)",-9,"Missing data (Not Ascertained)","South","Nonmetro county completely rural or less than 2,500 urban population, not adjace",175,NA
"72100714","Yes",31,"Postgraduate","Midwest","County in metro area with 1 million population or more",128,1
"72100717","Yes",54,"Some college","South","County in metro area of 250,000 to 1 million population",200,1
"72100729","Yes",45,"College graduate","South","County in metro area with 1 million population or more",150,1
"72100741","Inapplicable, coded 2 in WearableDevTrackHealth2",51,"Postgraduate","Midwest","County in metro area with 1 million population or more",280,NA
"72100742","Inapplicable, coded 2 in WearableDevTrackHealth2",36,"Postgraduate","South","County in metro area of 250,000 to 1 million population",228,NA
"72100750","Yes",70,"Postgraduate","South","Nonmetro county with urban population of 2,500-19,999, adjacent to a metro area",175,1
"72100751","Yes",48,"College graduate","South","County in metro area with 1 million population or more",225,1
"72100753","Inapplicable, coded 2 in WearableDevTrackHealth2",59,"8 through 11 years","South","County in metro area with 1 million population or more",218,NA
"72100768","Inapplicable, coded 2 in WearableDevTrackHealth2",69,"College graduate","Midwest","County in metro area with 1 million population or more",150,NA
"72100769","Inapplicable, coded 2 in WearableDevTrackHealth2",62,"12 years or completed high school","Northeast","Nonmetro county with urban population of 2,500-19,999, not adjacent to a metro a",157,NA
"72100787","No",28,"College graduate","South","County in metro area with 1 million population or more",210,0
"72100792","Inapplicable, coded 2 in WearableDevTrackHealth2",74,"12 years or completed high school","Midwest","County in metro area of 250,000 to 1 million population",185,NA
"72100794","Missing data (Not Ascertained)",90,"Postgraduate","West","County in metro area with 1 million population or more",170,NA
"72100795","Yes",48,"Post high school training other than college (vocational or technical)","South","County in metro area of 250,000 to 1 million population",150,1
"72100802","Inapplicable, coded 2 in WearableDevTrackHealth2",60,"Postgraduate","Northeast","County in metro area of 250,000 to 1 million population",192,NA
"72100805","Inapplicable, coded 2 in WearableDevTrackHealth2",61,"Some college","South","County in metro area of fewer than 250,000 population",145,NA
"72100807","Inapplicable, coded 2 in WearableDevTrackHealth2",84,"Postgraduate","South","County in metro area of 250,000 to 1 million population",132,NA
"72100813","Inapplicable, coded 2 in WearableDevTrackHealth2",-7,"Missing data (Web partial - Question Never Seen)","South","County in metro area with 1 million population or more",160,NA
"72100814","Inapplicable, coded 2 in WearableDevTrackHealth2",57,"Postgraduate","Midwest","County in metro area of 250,000 to 1 million population",185,NA
"72100820","No",65,"College graduate","West","County in metro area with 1 million population or more",260,0
"72100823","No",57,"Some college","Midwest","County in metro area with 1 million population or more",165,0
"72100827","Yes",63,"College graduate","West","County in metro area with 1 million population or more",280,1
"72100829","No",34,"College graduate","West","County in metro area with 1 million population or more",220,0
"72100830","Inapplicable, coded 2 in WearableDevTrackHealth2",39,"Postgraduate","Midwest","County in metro area of 250,000 to 1 million population",210,NA
"72100833","No",-7,"Missing data (Web partial - Question Never Seen)","Midwest","County in metro area with 1 million population or more",-7,0
"72100834","Inapplicable, coded 2 in WearableDevTrackHealth2",72,"Postgraduate","South","County in metro area of 250,000 to 1 million population",240,NA
"72100844","No",53,"Postgraduate","West","Nonmetro county with urban population of 2,500-19,999, adjacent to a metro area",114,0
"72100853","No",-9,"Missing data (Not Ascertained)","Midwest","Nonmetro county with urban population of 2,500-19,999, adjacent to a metro area",-9,0
"72100854","No",50,"Some college","Midwest","County in metro area with 1 million population or more",145,0
"72100858","Inapplicable, coded 2 in WearableDevTrackHealth2",80,"Some college","South","County in metro area with 1 million population or more",170,NA
"72100869","Inapplicable, coded 2 in WearableDevTrackHealth2",67,"Some college","South","County in metro area with 1 million population or more",177,NA
"72100874","Inapplicable, coded 2 in WearableDevTrackHealth2",48,"Some college","South","County in metro area with 1 million population or more",130,NA
"72100878","Inapplicable, coded 2 in WearableDevTrackHealth2",80,"Some college","Midwest","County in metro area with 1 million population or more",172,NA
"72100882","No",46,"Post high school training other than college (vocational or technical)","South","County in metro area with 1 million population or more",215,0
"72100886","Yes",75,"Postgraduate","Northeast","County in metro area with 1 million population or more",150,1
"72100890","Inapplicable, coded 2 in WearableDevTrackHealth2",42,"Postgraduate","Northeast","Nonmetro county with urban population of 2,500-19,999, adjacent to a metro area",350,NA
"72100892","Yes",63,"College graduate","Midwest","County in metro area with 1 million population or more",290,1
"72100894","Inapplicable, coded 2 in WearableDevTrackHealth2",67,"Some college","South","County in metro area of 250,000 to 1 million population",135,NA
"72100917","Yes",36,"Postgraduate","Northeast","County in metro area with 1 million population or more",145,1
"72100924","Inapplicable, coded 2 in WearableDevTrackHealth2",61,"College graduate","West","County in metro area with 1 million population or more",160,NA
"72100926","Question answered in error (Commission Error)",72,"8 through 11 years","Northeast","County in metro area with 1 million population or more",160,NA
"72100930","Inapplicable, coded 2 in WearableDevTrackHealth2",72,"Post high school training other than college (vocational or technical)","West","County in metro area of 250,000 to 1 million population",260,NA
"72100931","Inapplicable, coded 2 in WearableDevTrackHealth2",84,"College graduate","South","County in metro area with 1 million population or more",145,NA
"72100937","No",29,"Some college","South","County in metro area with 1 million population or more",180,0
"72100938","Inapplicable, coded 2 in WearableDevTrackHealth2",50,"Some college","Midwest","County in metro area with 1 million population or more",250,NA
"72100942","Yes",72,"College graduate","South","County in metro area with 1 million population or more",205,1
"72100947","Yes",21,"Some college","South","County in metro area of 250,000 to 1 million population",165,1
"72100948","Inapplicable, coded 2 in WearableDevTrackHealth2",37,"College graduate","South","County in metro area of fewer than 250,000 population",210,NA
"72100950","Inapplicable, coded 2 in WearableDevTrackHealth2",75,"College graduate","Northeast","County in metro area of 250,000 to 1 million population",173,NA
"72100951","Inapplicable, coded 2 in WearableDevTrackHealth2",64,"8 through 11 years","Northeast","County in metro area with 1 million population or more",220,NA
"72100956","Yes",62,"College graduate","South","County in metro area of 250,000 to 1 million population",198,1
"72100957","Inapplicable, coded 2 in WearableDevTrackHealth2",63,"College graduate","West","County in metro area with 1 million population or more",150,NA
"72100959","Yes",34,"Postgraduate","West","County in metro area of fewer than 250,000 population",155,1
"72100967","Inapplicable, coded 2 in WearableDevTrackHealth2",75,"Some college","South","County in metro area of 250,000 to 1 million population",255,NA
"72100969","Yes",72,"Postgraduate","Midwest","County in metro area of fewer than 250,000 population",210,1
"72100974","No",30,"Postgraduate","Northeast","County in metro area with 1 million population or more",155,0
"72100978","Yes",72,"Post high school training other than college (vocational or technical)","South","County in metro area with 1 million population or more",130,1
"72100986","Yes",61,"Postgraduate","South","Nonmetro county with urban population of 20,000 or more, adjacent to a metro are",210,1
"72101003","Inapplicable, coded 2 in WearableDevTrackHealth2",81,"Postgraduate","West","County in metro area with 1 million population or more",210,NA
"72101011","Inapplicable, coded 2 in WearableDevTrackHealth2",80,"College graduate","Northeast","Nonmetro county with urban population of 2,500-19,999, adjacent to a metro area",135,NA
"72101012","Inapplicable, coded 2 in WearableDevTrackHealth2",49,"Some college","West","County in metro area of fewer than 250,000 population",178,NA
"72101019","Inapplicable, coded 2 in WearableDevTrackHealth2",58,"12 years or completed high school","Midwest","County in metro area with 1 million population or more",175,NA
"72101028","Inapplicable, coded 2 in WearableDevTrackHealth2",49,"Postgraduate","Northeast","County in metro area with 1 million population or more",154,NA
"72101033","Inapplicable, coded 2 in WearableDevTrackHealth2",77,"Post high school training other than college (vocational or technical)","Midwest","County in metro area of 250,000 to 1 million population",108,NA
"72101035","Yes",48,"Postgraduate","West","County in metro area of 250,000 to 1 million population",155,1
"72101037","Inapplicable, coded 2 in WearableDevTrackHealth2",-7,"Missing data (Web partial - Question Never Seen)","South","Nonmetro county with urban population of 20,000 or more, adjacent to a metro are",160,NA
"72101040","Inapplicable, coded 2 in WearableDevTrackHealth2",67,"College graduate","Northeast","Nonmetro county with urban population of 20,000 or more, adjacent to a metro are",255,NA
"72101043","Inapplicable, coded 2 in WearableDevTrackHealth2",42,"Some college","South","County in metro area with 1 million population or more",156,NA
"72101051","Question answered in error (Commission Error)",68,"Some college","South","Nonmetro county completely rural or less than 2,500 urban population, not adjace",160,NA
"72101064","Inapplicable, coded 2 in WearableDevTrackHealth2",60,"12 years or completed high school","Midwest","County in metro area of fewer than 250,000 population",305,NA
"72101065","Yes",35,"Post high school training other than college (vocational or technical)","West","County in metro area of 250,000 to 1 million population",155,1
"72101070","Inapplicable, coded 2 in WearableDevTrackHealth2",55,"Postgraduate","Midwest","County in metro area with 1 million population or more",170,NA
"72101072","Inapplicable, coded 2 in WearableDevTrackHealth2",37,"Post high school training other than college (vocational or technical)","South","Nonmetro county with urban population of 2,500-19,999, adjacent to a metro area",170,NA
"72101076","Question answered in error (Commission Error)",73,"12 years or completed high school","Midwest","County in metro area of 250,000 to 1 million population",104,NA
"72101081","Inapplicable, coded 2 in WearableDevTrackHealth2",23,"College graduate","Northeast","County in metro area with 1 million population or more",157,NA
"72101083","Yes",90,"12 years or completed high school","Midwest","Nonmetro county with urban population of 2,500-19,999, not adjacent to a metro a",107,1
"72101098","Question answered in error (Commission Error)",72,"Missing data (Not Ascertained)","South","County in metro area with 1 million population or more",156,NA
"72101102","Question answered in error (Commission Error)",62,"Some college","South","County in metro area of fewer than 250,000 population",253,NA
"72101106","No",42,"College graduate","South","County in metro area of 250,000 to 1 million population",160,0
"72101107","Inapplicable, coded 2 in WearableDevTrackHealth2",75,"12 years or completed high school","West","County in metro area with 1 million population or more",189,NA
"72101113","Inapplicable, coded 2 in WearableDevTrackHealth2",46,"Some college","Midwest","Nonmetro county with urban population of 2,500-19,999, not adjacent to a metro a",179,NA
"72101114","No",65,"Some college","South","County in metro area of 250,000 to 1 million population",226,0
"72101116","Inapplicable, coded 2 in WearableDevTrackHealth2",64,"Post high school training other than college (vocational or technical)","Midwest","County in metro area with 1 million population or more",195,NA
"72101117","Inapplicable, coded 2 in WearableDevTrackHealth2",71,"College graduate","West","County in metro area with 1 million population or more",165,NA
"72101119","Yes",64,"12 years or completed high school","South","Nonmetro county completely rural or less than 2,500 urban population, adjacent t",291,1
"72101123","Inapplicable, coded 2 in WearableDevTrackHealth2",73,"Postgraduate","South","County in metro area with 1 million population or more",210,NA
"72101133","Inapplicable, coded 2 in WearableDevTrackHealth2",72,"Postgraduate","Midwest","Nonmetro county with urban population of 20,000 or more, not adjacent to a metro",197,NA
"72101137","Inapplicable, coded 2 in WearableDevTrackHealth2",71,"12 years or completed high school","Midwest","Nonmetro county with urban population of 2,500-19,999, not adjacent to a metro a",250,NA
"72101138","Yes",56,"Post high school training other than college (vocational or technical)","West","County in metro area with 1 million population or more",220,1
"72101141","No",72,"12 years or completed high school","South","County in metro area with 1 million population or more",165,0
"72101147","Inapplicable, coded 2 in WearableDevTrackHealth2",58,"Postgraduate","South","County in metro area of fewer than 250,000 population",230,NA
"72101150","Question answered in error (Commission Error)",72,"Postgraduate","West","Nonmetro county with urban population of 20,000 or more, not adjacent to a metro",154,NA
"72101157","Yes",56,"Post high school training other than college (vocational or technical)","South","County in metro area with 1 million population or more",247,1
